SUBNO	HOME	NUMSIB	CRIMPAR	CRIMSIB	MENTILL	PSYCHIAT	BCARE	SIBCARE	PRECAP1	PRECAP2	CT1AGE	CTLAG	NUMAPP	HISTABSC	IQ	HT	WT	READAGE	SES	ADMITCON	ENTAGE	HOUSE	TOTLV	DAYSLV	TOTABSC	SCHOFF	REL1LAG	RELLAST	RELCON	NUMREL	AFCARE	SCHTIME	SCHCUST	RECALL	RECON2	CTAPP2	OFFLAG2	CUST2	SER1ST	SERALL
135	3	9	1	2	2	4	1	1	2	2	11	20	0	1	69	61	110	45	6	1	185	1	6	30	8	1	15	15	1	1	2	15	2	2	2	3	3	2	3.4	9
136	2	2	2	1	2	3	2	2	4	4	11	4	1	1	101	67	148	138	3	2	193	1	0	0	2	1	3	3	2	1	8	3	1	2	2	98	98	8	98	98
137	1	4	2	1	1	4	2	2	4	2	10	2	1	1	92	66	110	108	3	1	182	2	9	54	0	0	17	17	1	1	1	17	2	2	2	2	19	2	2	5.2
138	2	3	2	1	2	1	2	2	3	3	9	5	0	2	80	59	87	121	3	1	167	1	9	53	22	3	19	19	2	1	8	19	1	2	2	98	98	8	98	98
139	2	3	2	2	2	1	2	2	2	1	8	3	2	1	91	61	106	90	3	1	162	1	1	7	4	1	4	4	3	1	8	4	2	2	2	98	98	8	98	98
140	1	12	2	1	2	3	2	2	3	3	14	1	0	2	109	63	125	131	3	1	180	3	4	36	1	0	12	12	1	1	1	12	2	2	2	3	6	2	2.4	6.4
141	1	4	2	1	1	3	2	1	2	2	14	6	0	2	88	59	90	145	5	1	175	2	10	49	0	0	16	16	1	1	1	16	2	2	2	1	21	1	3.8	3.8
142	1	4	2	1	2	1	2	2	1	1	13	888	0	2	109	66	133	134	3	1	162	3	5	30	2	0	11	11	1	1	1	11	2	2	2	1	14	1	3.2	3.2
143	4	9	1	1	2	1	1	1	1	0	13	888	0	1	80	62	90	42	7	9	160	1	3	24	10	2	11	11	2	1	8	11	1	2	1	98	98	8	98	98
144	3	5	2	2	1	4	1	2	2	2	12	18	0	2	96	58	80	107	4	1	172	3	6	41	0	0	13	13	1	1	1	13	2	2	1	97	97	7	97	97
145	1	1	2	2	2	3	2	2	5	5	10	3	0	2	117	58	91	129	3	1	158	2	5	65	1	0	14	14	1	1	1	14	2	2	2	2	3	2	99	99
146	3	3	2	2	2	3	2	2	2	2	14	5	0	2	125	66	107	147	3	1	179	2	6	34	0	0	11	11	1	1	1	11	2	2	2	2	4	2	2.2	5.8
147	1	6	2	2	2	1	2	2	3	3	13	4	1	1	111	61	118	141	3	1	176	2	7	70	3	0	14	14	1	1	2	14	2	2	2	3	7	2	3.8	10.2
148	1	5	2	2	2	3	2	2	3	3	11	2	0	1	98	59	98	123	4	1	165	2	7	48	0	0	15	15	1	1	2	15	2	2	2	4	4	2	2.8	13.6
149	1	7	2	2	2	1	2	2	2	2	13	2	0	2	97	60	86	126	3	1	163	1	13	58	6	2	15	15	1	1	1	15	2	2	2	2	13	2	3.2	6.4
150	1	3	2	1	1	3	1	1	3	2	8	7	0	1	105	59	84	122	3	1	166	1	8	47	9	0	16	16	1	1	1	16	2	2	1	97	97	7	97	97
151	2	7	1	1	2	2	1	1	4	4	12	4	0	2	112	63	115	140	6	1	170	3	3	20	0	0	6	6	1	1	1	6	2	2	2	1	10	2	2.8	2.8
152	1	1	2	2	1	3	2	2	2	2	12	21	0	2	93	64	118	129	3	1	172	1	2	15	9	1	9	9	1	1	1	9	2	2	2	1	14	2	4.6	4.6
153	1	1	2	1	2	3	2	2	2	1	10	44	0	2	130	63	110	145	3	1	173	2	8	53	0	0	14	14	1	1	1	14	2	2	1	97	97	7	97	97
154	1	4	2	2	2	2	2	2	4	2	13	1	0	2	104	63	110	141	3	9	172	1	8	41	0	0	14	14	1	1	1	14	2	2	1	97	97	7	97	97
155	3	6	2	1	1	3	2	1	4	1	10	5	0	1	99	59	94	107	6	9	167	2	4	20	0	0	6	6	1	1	2	6	2	2	2	1	23	1	1.8	1.8
