"","qb10_1","qb10_2","qb10_3","qb10_4","qb10_5","qb10_6","qb10_7","qb10_8","qb10_9","qb10_10","qb10_11","qb10_12","d10","d11","isocntry","d1","d25","d15a","uniqid","at_sexviol"
"5509",0,0,0,0,0,0,0,0,0,1,0,0,2,27,"FR",4,3,15,70001750,0
"5510",0,0,0,0,0,0,0,0,0,1,0,0,1,65,"FR",3,2,4,70001751,0
"5511",0,0,0,0,0,0,0,0,0,1,0,0,2,33,"FR",3,2,12,70001755,0
"5512",0,0,0,0,0,0,0,0,0,1,0,0,2,45,"FR",NA,1,3,70001756,0
"5513",0,0,0,0,0,0,0,0,0,1,0,0,1,66,"FR",1,2,4,70001759,0
"5514",1,0,0,1,0,0,1,0,0,0,0,0,1,68,"FR",8,1,3,70001761,3
"5515",0,0,0,0,0,0,0,0,0,1,0,0,2,63,"FR",4,2,15,70001772,0
"5516",0,0,0,0,0,0,0,0,0,1,0,0,2,79,"FR",3,2,4,70001776,0
"5517",0,0,0,0,0,0,0,0,0,1,0,0,1,88,"FR",5,2,4,70001781,0
"5518",0,0,0,0,0,0,0,0,0,1,0,0,2,34,"FR",NA,1,14,70001788,0
"5519",0,1,1,0,0,0,0,0,0,0,0,0,2,30,"FR",5,2,17,70001794,2
"5520",0,0,0,0,0,0,0,0,0,1,0,0,1,71,"FR",5,1,4,70001800,0
"5521",0,0,0,0,0,0,0,0,0,1,0,0,1,49,"FR",1,1,12,70001804,0
"5522",0,0,0,0,0,0,0,0,0,1,0,0,2,75,"FR",3,2,4,70001808,0
"5523",0,0,0,0,0,0,0,0,0,1,0,0,2,96,"FR",NA,2,4,70001812,0
"5524",0,0,0,0,0,0,0,0,0,1,0,0,2,46,"FR",5,2,18,70001813,0
"5525",0,0,0,0,0,0,0,0,0,1,0,0,2,62,"FR",8,2,11,70001814,0
"5526",0,0,0,0,0,0,0,0,0,1,0,0,2,33,"FR",1,2,12,70001816,0
"5527",1,1,1,1,0,0,1,1,1,0,0,0,2,22,"FR",NA,2,15,70001818,7
"5528",0,1,0,1,1,0,0,1,0,0,0,0,1,50,"FR",5,2,15,70001825,4
"5529",0,0,0,0,0,0,0,0,0,1,0,0,2,89,"FR",NA,2,4,70001829,0
"5530",1,0,1,0,0,0,0,0,0,0,0,0,1,70,"FR",4,2,4,70001833,2
"5531",1,1,0,0,0,0,1,0,0,0,0,0,1,71,"FR",NA,2,4,70001838,3
"5532",0,0,0,1,0,0,0,0,0,0,0,0,2,64,"FR",NA,2,4,70001839,1
"5533",0,0,0,1,0,0,1,0,0,0,0,0,1,62,"FR",NA,2,4,70001843,2
"5534",0,0,0,0,0,0,0,0,0,1,0,0,2,31,"FR",2,2,13,70001845,0
"5535",1,0,1,1,0,0,0,0,0,0,0,0,1,70,"FR",5,1,4,70001846,3
"5536",0,0,0,1,0,0,0,0,0,0,0,0,2,29,"FR",NA,1,3,70001847,1
"5537",0,0,0,0,0,0,0,0,0,1,0,0,2,42,"FR",2,2,1,70001850,0
"5538",0,0,0,0,0,0,0,0,0,1,0,0,1,64,"FR",10,2,4,70001853,0
"5539",0,0,0,0,0,0,0,0,0,1,0,0,1,24,"FR",6,2,17,70001855,0
"5540",0,0,0,0,0,0,0,0,0,1,0,0,2,21,"FR",5,2,15,70001859,0
"5541",0,0,0,0,0,0,0,0,0,1,0,0,2,52,"FR",1,2,12,70001868,0
"5542",0,0,0,0,0,0,0,0,0,0,0,1,2,62,"FR",10,2,4,70001871,0
"5543",1,1,1,0,1,0,0,0,0,0,0,0,1,72,"FR",NA,2,4,70001875,4
"5544",0,1,0,0,1,0,0,1,0,0,0,0,1,36,"FR",4,1,17,70001881,3
"5545",0,0,0,0,0,0,0,0,0,1,0,0,2,35,"FR",NA,2,1,70001883,0
"5546",0,0,0,0,0,0,0,0,0,1,0,0,2,57,"FR",10,2,15,70001888,0
"5547",0,0,0,0,0,0,0,0,0,1,0,0,2,56,"FR",NA,2,1,70001895,0
"5548",0,0,0,1,0,0,0,1,0,0,0,0,1,38,"FR",10,2,3,70001899,2
"5549",0,0,0,0,0,0,0,0,0,1,0,0,2,51,"FR",1,2,3,70001904,0
"5550",0,0,0,0,0,0,0,0,0,1,0,0,1,69,"FR",5,1,4,70001905,0
"5551",0,0,0,0,0,0,0,0,0,1,0,0,2,73,"FR",NA,1,4,70001916,0
"5552",0,0,0,0,0,0,0,0,0,0,0,1,2,18,"FR",NA,1,15,70001920,0
"5553",0,0,0,0,0,0,0,0,0,1,0,0,1,38,"FR",6,2,8,70001928,0
"5554",0,0,0,0,0,0,0,0,0,1,0,0,2,52,"FR",2,2,13,70001929,0
"5555",0,0,0,0,1,0,0,0,0,0,0,0,2,68,"FR",NA,2,4,70001934,1
"5556",1,1,1,1,1,1,1,1,1,0,0,0,2,45,"FR",5,2,12,70001937,9
"5557",0,1,0,1,0,0,0,0,0,0,0,0,2,72,"FR",10,1,4,70001938,2
"5558",0,0,0,0,0,0,0,0,0,1,0,0,2,16,"FR",4,1,2,70001941,0
"5559",0,0,0,0,0,0,0,0,0,1,0,0,2,64,"FR",7,2,4,70001942,0
"5560",0,0,0,0,0,0,0,0,0,1,0,0,1,32,"FR",5,2,3,70001949,0
"5561",0,0,0,0,0,0,0,0,0,1,0,0,2,57,"FR",3,1,15,70001955,0
"5562",1,0,0,1,0,1,1,0,1,0,0,0,1,85,"FR",5,1,4,70001958,5
"5563",0,0,0,0,0,0,0,0,0,1,0,0,1,15,"FR",NA,1,2,70001961,0
"5564",0,0,0,0,0,0,0,0,0,1,0,0,2,74,"FR",6,3,4,70001968,0
"5565",0,0,0,0,0,0,0,0,0,0,0,1,1,46,"FR",6,3,12,70001969,0
"5566",0,0,0,0,0,0,0,0,0,1,0,0,1,45,"FR",4,3,17,70001970,0
"5567",0,0,0,0,0,0,0,0,0,1,0,0,2,49,"FR",6,2,3,70001972,0
"5568",0,0,0,0,0,0,0,0,0,1,0,0,2,46,"FR",3,2,13,70001976,0
"5569",0,0,0,0,0,0,0,0,0,1,0,0,1,19,"FR",NA,2,2,70001986,0
"5570",0,0,1,0,0,0,1,0,0,0,0,0,1,60,"FR",NA,2,4,70002004,2
"5571",0,0,0,0,0,0,0,0,0,1,0,0,2,31,"FR",10,2,17,70002014,0
"5572",0,0,0,0,0,0,0,0,0,1,0,0,1,44,"FR",8,2,15,70002017,0
"5573",0,0,1,0,0,0,0,0,0,0,0,0,1,37,"FR",5,2,17,70002019,1
"5574",0,0,0,0,0,0,0,0,0,1,0,0,1,65,"FR",1,3,4,70002021,0
"5575",0,1,0,1,0,0,0,0,0,0,0,0,1,24,"FR",5,2,3,70002022,2
"5576",0,0,0,0,0,0,0,0,0,1,0,0,2,65,"FR",8,3,4,70002024,0
"5577",0,0,0,0,0,1,0,1,0,0,0,0,1,47,"FR",5,3,17,70002025,2
"5578",0,0,0,0,0,0,0,0,0,1,0,0,1,28,"FR",3,3,4,70002026,0
"5579",0,0,0,0,0,0,0,0,0,1,0,0,2,32,"FR",NA,3,12,70002027,0
"5580",0,0,0,0,0,0,0,0,0,1,0,0,1,47,"FR",8,3,9,70002035,0
"5581",1,0,0,0,0,0,0,0,1,0,0,0,2,37,"FR",5,2,15,70002046,2
"5582",0,1,1,0,0,0,0,1,0,0,0,0,1,16,"FR",7,2,2,70002053,3
"5583",0,0,0,0,0,0,0,0,0,1,0,0,1,47,"FR",NA,2,12,70002068,0
"5584",0,0,0,0,0,0,0,0,0,1,0,0,1,41,"FR",5,2,17,70002071,0
"5585",0,0,0,0,0,0,0,0,0,1,0,0,1,37,"FR",5,2,16,70002078,0
"5586",0,0,0,0,0,0,0,0,0,1,0,0,1,18,"FR",5,3,2,70002079,0
"5587",0,0,0,0,0,0,0,0,0,1,0,0,2,21,"FR",5,3,3,70002080,0
