"","uniqid","at_sexviol","gender","age","politics","urban","occupation","region"
"7037",80003065,0,2,47,5,1,3,"Western"
"7038",80003069,0,1,33,5,1,8,"Western"
"7039",80003072,0,1,49,7,1,17,"Western"
"7040",80003074,0,2,37,7,1,15,"Western"
"7041",80003079,0,2,92,5,1,4,"Western"
"7042",80003085,0,1,49,5,1,8,"Western"
"7043",80003087,0,1,20,6,3,2,"Western"
"7044",80003088,0,2,36,NA,1,15,"Western"
"7045",80003089,0,1,45,4,1,7,"Western"
"7046",80003090,0,2,56,3,1,15,"Western"
"7047",80003095,0,2,27,NA,2,12,"Western"
"7048",80003100,0,2,64,5,2,1,"Western"
"7049",80003104,2,2,24,NA,2,18,"Western"
"7050",80003105,1,1,44,NA,2,8,"Western"
"7051",80003109,0,1,82,7,2,4,"Western"
"7052",80003110,0,2,54,7,2,1,"Western"
"7053",80003112,0,1,71,5,2,4,"Western"
"7054",80003113,0,1,55,6,2,8,"Western"
"7055",80003114,0,2,30,5,3,1,"Western"
"7056",80003115,0,1,48,1,3,8,"Western"
"7057",80003116,0,2,64,5,3,1,"Western"
"7058",80003119,0,2,49,5,3,18,"Western"
"7059",80003124,0,2,44,5,3,1,"Western"
"7060",80003125,0,1,40,5,3,10,"Western"
"7061",80003134,0,1,36,5,3,17,"Western"
"7062",80003135,0,2,30,3,3,1,"Western"
"7063",80003137,0,1,84,8,3,4,"Western"
"7064",80003138,0,2,67,NA,3,1,"Western"
"7065",80003142,0,2,72,8,3,1,"Western"
"7066",80003152,0,2,34,5,2,1,"Western"
"7067",80003153,NA,1,20,5,2,3,"Western"
"7068",80003154,0,2,25,5,2,15,"Western"
"7069",80003155,1,1,24,5,2,17,"Western"
"7070",80003156,0,1,31,3,1,17,"Western"
"7071",80003157,0,1,76,NA,3,4,"Western"
"7072",80003158,0,2,74,5,3,4,"Western"
"7073",80003162,0,2,55,8,2,1,"Western"
"7074",80003163,0,2,78,8,2,1,"Western"
"7075",80003167,0,2,88,10,2,4,"Western"
"7076",80003178,0,2,86,9,2,4,"Western"
"7077",80003179,1,1,74,8,3,9,"Western"
"7078",80003180,0,2,64,4,3,11,"Western"
"7079",80003181,0,2,51,5,3,8,"Western"
"7080",80003182,0,2,58,7,3,1,"Western"
"7081",80003183,0,2,53,3,3,9,"Western"
"7082",80003184,0,2,72,4,3,4,"Western"
"7083",80003185,0,2,75,8,3,4,"Western"
"7084",80003186,0,2,71,5,3,7,"Western"
"7085",80003206,0,1,18,NA,2,2,"Western"
"7086",80003207,0,2,68,4,1,4,"Western"
"7087",80003213,0,1,50,4,3,3,"Western"
"7088",80003214,0,1,59,7,3,13,"Western"
"7089",80003215,0,2,63,7,3,4,"Western"
"7090",80003216,0,2,39,3,3,10,"Western"
"7091",80003223,0,1,76,5,3,4,"Western"
"7092",80003226,0,2,60,3,3,1,"Western"
"7093",80003227,0,1,53,5,3,14,"Western"
"7094",80003230,0,1,42,5,1,8,"Western"
"7095",80003234,1,1,30,5,2,17,"Western"
"7096",80003235,0,1,78,7,1,4,"Western"
"7097",80003247,0,1,71,8,2,4,"Western"
"7098",80003250,3,1,79,8,1,4,"Western"
"7099",80003253,2,1,41,3,1,15,"Western"
"7100",80003254,0,2,56,4,1,15,"Western"
"7101",90000003,0,2,49,NA,3,1,"Southern"
"7102",90000005,0,2,45,NA,3,1,"Southern"
"7103",90000009,1,1,43,2,1,12,"Southern"
"7104",90000014,2,1,56,6,2,10,"Southern"
"7105",90000018,2,1,46,5,2,8,"Southern"
"7106",90000022,2,1,36,5,2,16,"Southern"
"7107",90000035,0,2,41,NA,3,15,"Southern"
"7108",90000047,2,1,51,5,2,8,"Southern"
"7109",90000051,4,1,52,5,1,14,"Southern"
"7110",90000054,1,2,75,NA,1,1,"Southern"
"7111",90000055,0,2,49,NA,3,1,"Southern"
"7112",90000058,0,1,22,NA,3,3,"Southern"
"7113",90000060,0,2,45,NA,3,1,"Southern"
"7114",90000063,0,2,48,NA,3,1,"Southern"
"7115",90000064,0,2,49,NA,3,1,"Southern"
"7116",90000066,0,1,58,NA,3,8,"Southern"
"7117",90000068,0,2,75,NA,3,4,"Southern"
"7118",90000082,3,1,40,10,3,17,"Southern"
"7119",90000099,0,2,50,3,2,7,"Southern"
"7120",90000102,0,2,40,4,2,13,"Southern"
"7121",90000106,0,2,70,8,2,4,"Southern"
"7122",90000109,0,1,76,2,2,4,"Southern"
"7123",90000114,0,2,59,6,2,13,"Southern"
"7124",90000118,0,2,41,6,2,14,"Southern"
"7125",90000125,0,1,72,4,2,4,"Southern"
"7126",90000129,0,1,17,6,2,2,"Southern"
"7127",90000130,5,1,59,NA,3,17,"Southern"
"7128",90000131,0,2,45,4,3,15,"Southern"
"7129",90000132,0,1,37,3,3,17,"Southern"
"7130",90000133,0,1,75,NA,3,4,"Southern"
